station,subject,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII
Можайск,Московская область,6.5,7.6,8.3,9.5,11.4,11.1,10.8,10.6,9.2,6.6,4.8,5.3
Москва,Московская область,5.6,6.5,7.3,9,10.8,10.3,9.9,9.5,8.3,5.9,4.4,4.7
Наро-Фоминск,Московская область,6.7,8.1,8.6,10.1,12,11.6,11.2,11.1,9.6,6.9,4.9,5.4
Черусти,Московская область,7.2,8.5,9.2,10.5,12.8,12.5,12.4,12.1,10.3,7.4,5.3,5.9
Вайда-Губа,Мурманская область,5.6,5.6,5.2,4.8,5,6,6.2,5.6,4.8,4.2,4.7,5.2
Кандалакша,Мурманская область,8.3,8.5,9.3,8.5,8.1,8.6,8.6,8,6.7,5.1,5.8,7.4
Ковдор,Мурманская область,7.9,7.8,8.9,8.9,8.7,9.8,9.9,8.9,6.9,5,6,7.2
Краснощелье,Мурманская область,9.2,8.9,10.3,9.4,8.3,10.1,10.6,9.2,7,5.2,6.6,8.1
Ловозеро,Мурманская область,10.6,10.5,10.8,9.3,8.2,9.8,10,8.9,7.2,6,7.8,9.9
Мончегорск,Мурманская область,8.9,8.4,8.6,7.8,7.6,8.7,8.5,7.1,5.4,4.5,6.3,8
Мурманск,Мурманская область,6.4,6.1,6.5,6.3,6.7,8.2,8.3,7.2,5.4,4,4.9,5.9
Ниванкюль,Мурманская область,8.1,7.9,8.7,8.7,8.3,9.4,9.3,8.3,6.6,4.8,5.7,7.4
Пялица,Мурманская область,7,7,8,7,6.3,7.5,7.6,6.6,5.9,4.8,4.8,6
о. Сосновец,Мурманская область,5.5,5.7,6.1,5.6,5,5.5,5.5,4.7,4.3,3.9,4.4,4.9
Териберка,Мурманская область,6.2,6,5.6,5,5.2,6.7,7.1,6.1,4.8,4.3,5.1,5.8
Умба,Мурманская область,7,6.9,8.2,7.7,7.5,8.2,7.9,7,5.6,4.3,4.9,6.2
Варандей,Ненецкий автономный округ,8.5,8.5,8.8,8.3,5.7,6,6.9,5.5,4.5,4.5,6.8,7.8
Индига,Ненецкий автономный округ,8.1,7.6,8,7.4,5.9,7.3,7.5,6.2,4.9,4.3,5.8,6.9
Канин Нос,Ненецкий автономный округ,5.5,5.5,5.2,4.5,4,5.5,5.8,4.6,3.6,3.4,4,4.8
Коткино,Ненецкий автономный округ,10.2,9.5,10.5,10.1,8.8,10.7,11.3,9.3,7.2,5.6,7.5,8.9
Нарьян-Мар,Ненецкий автономный округ,8.8,8.4,9.3,8.7,7.3,8.9,9.3,7.8,6.1,4.9,6.7,7.9
Ходовариха,Ненецкий автономный округ,8.2,8.2,8.2,7.4,4.7,4.9,5.9,4.6,3.5,3.7,6,7.3
Хоседа-Хард,Ненецкий автономный округ,9.4,9.1,10.2,9.9,8.3,10.8,11.5,9.6,7.4,5.8,7.8,8.6
Арзамас,Нижегородская область,7,7.9,8.3,9.6,12.4,11.9,11.6,11.6,9.8,6.8,5.2,6
Выкса,Нижегородская область,6.6,7.8,8.2,10.1,11.9,11.3,11.1,11,9.3,6.7,4.9,5.7
Нижний Новгород,Нижегородская область,6.9,8.1,8.3,10.1,13,12.2,12.1,11.7,9.5,6.7,4.9,5.9
Боровичи,Новгородская область,6.5,7.3,8.6,9.5,11.6,11.2,11,10.4,8.8,6,4.4,5.3
Великий Новгород,Новгородская область,6.3,7.1,8.1,8.7,10.5,10.4,10.2,10,8.6,6.1,4.4,5.4
Барабинск,Новосибирская область,8.7,9.5,10,9.9,12.8,12.8,11.9,11.8,11.3,8.4,7.5,8.5
Болотное,Новосибирская область,8,8.9,9.5,9.9,12.5,12.3,11.6,11.2,10.6,7.7,7.1,8
Карасук,Новосибирская область,9.2,10,10.2,10.9,13.6,13.1,11.9,12.1,12.2,9.2,7.8,8.8
Кочки,Новосибирская область,9.4,10.6,11.1,11.1,14.6,14.2,13.1,13.1,12.8,9.4,8.2,9.2
Купино,Новосибирская область,8.9,9.5,10,10.8,14,13.5,12.5,12.5,12.2,9.1,7.8,8.7
Кыштовка,Новосибирская область,9.5,11,11.6,10.7,13.5,13.2,12.5,11.9,11.2,8,7.8,9.1
Новосибирск,Новосибирская область,9,10.2,10.9,10.4,13.1,12.4,11.8,11.5,10.9,7.8,7.2,8.5
Татарск,Новосибирская область,9,9.7,10.2,10.3,13.4,13.3,12.3,12,11.7,8.7,7.5,8.5
Чулым,Новосибирская область,8.9,9.9,10.5,10.3,13.1,12.8,12.1,12,11.7,8.6,7.7,8.6
Исилькуль,Омская область,8.8,9.8,10.2,10.4,13.5,13,11.8,11.8,11.6,8.8,7.7,8.5
Омск,Омская область,8.6,9.4,9.7,10.1,13,12.6,11.5,11.4,11,8.4,7.3,8.3
Тара,Омская область,9.3,11,11.7,10.3,12.5,12.3,11.4,11,10.4,7.7,7.7,9
Черлак,Омская область,8.6,9,9.5,10.5,13.1,12.6,11.5,11.7,11.4,8.7,7.5,8.4
Кувандык,Оренбургская область,8.8,10.1,9.6,12.3,15.3,15.4,14.9,15.6,14.6,10.6,7.3,8.2
Оренбург,Оренбургская область,7.8,8.8,8.5,11,13.6,13.6,13.4,13.8,12.8,9.4,6.6,7.2
Сорочинск,Оренбургская область,7.5,8.4,8,10.7,13.4,13,12.8,13,12,8.4,5.8,6.7
Орел,Орловская область,6,6.6,6.9,9.2,11.4,11.2,11.1,11.2,10,7.3,4.8,5.1
Земетчино,Пензенская область,7.2,8.2,8.3,10.2,13.3,12.9,12.5,12.8,11.2,7.8,5.5,6.2
Пенза,Пензенская область,5.8,6.8,7,8.8,10.7,10.3,10.1,10.2,9.2,6.6,4.6,5.1
Бисер,Пермский край,6.8,7.7,8.9,9.5,11.2,11.3,10.6,9.6,7.6,5.3,5.6,6.2
Ножовка,Пермский край,7.1,8,8.6,9.4,11.6,11.3,10.9,10.2,8.4,5.7,5.1,6.5
Пермь,Пермский край,7,7.9,8.6,9.3,11.4,11.4,11,10,8.2,5.4,5.3,6.4
Чердынь,Пермский край,6.6,7,7.9,8.6,10.1,10.4,9.9,9.1,7.2,4.7,5.1,6.1
Агзу,Приморский край,15.7,18,16.4,14.4,16,14.6,12.9,12.1,13.9,13.8,12.5,13.8
Анучино,Приморский край,16.3,17,14.1,13.9,14.9,13.4,11.7,11,12.9,14.2,13.3,14.9
Астраханка,Приморский край,10.9,11.4,10.3,10.9,11.5,10.4,9.3,8.6,10.3,10.9,10,10.3
Владивосток,Приморский край,7.7,8,7.3,7.7,8,6.5,5.6,5.6,6.7,7.2,6.9,7
Дальнереченск,Приморский край,10.3,11.7,11.1,11.6,12.4,11.1,10,9.7,11.5,11.9,10.5,10
Красный Яр,Приморский край,17.3,19.4,17.4,15.1,16.3,14.7,12.7,11.7,13.4,14.2,13.3,15.3
Маргаритово,Приморский край,14.6,14.9,13.2,13.7,13.4,11,9.6,10,13.1,15.2,14.1,14.2
Мельничное,Приморский край,16.2,17.9,16.3,14.2,15.6,14.1,12.5,11.4,12.5,13.9,13,14.4
Партизанск,Приморский край,9.7,10.4,10.2,11.5,12.4,10.7,9.1,9.1,10.8,11.3,9.8,9.4
Посьет,Приморский край,8.3,9.2,9.1,9.1,8.7,6.7,5.8,6.4,8.4,9.3,8.1,7.6
Преображение,Приморский край,9.2,9.2,8.2,8.4,8.3,6.9,6,6.5,8.6,9.3,8.9,9.1
Рудная пристань,Приморский край,9.9,10.8,9.9,10,9.3,7.1,6.3,7.2,10.3,11.6,10.5,10
Сосуново,Приморский край,9.8,10.4,9.1,7.9,8,6.7,5.9,6.7,9,10.2,9.5,9.6
Чугуевка,Приморский край,16.6,17.8,14.9,14.4,15.8,14.3,12.5,12,13.6,14.5,13.6,15.2
Великие Луки,Псковская область,6.5,7.5,8.5,9.8,11.8,11.3,11.2,10.6,9.3,7,4.9,5.3
Псков,Псковская область,5.8,6.8,7.9,9.5,11.3,10.9,10.6,10.3,9,6.4,4.4,5
Гигант,Ростовская область,6.1,6.8,8.4,11.4,12.1,12.3,12.9,13,12.2,9.8,6.7,5.6
Миллерово,Ростовская область,6.1,6.6,7.5,11.2,12.8,12.9,13.1,13.5,12.5,9.4,6.1,5.5
Ростов-на-Дону,Ростовская область,5.7,6.3,7.7,10.4,11.3,11.4,11.9,12.1,11.5,9,6.2,5.2
Таганрог,Ростовская область,5.2,5.9,6.4,8,8.6,8.9,9.4,9.6,9.1,7.3,5.2,4.7
Рязань,Рязанская область,6.4,7,7,8.7,11.2,11.1,10.8,10.8,9.3,6.7,4.8,5.5
Самара,Самарская область,6.4,7.1,7.2,9.1,11.1,10.7,10.4,10.6,9.6,6.9,4.9,5.6
Александров Гай,Саратовская область,7.6,8.2,8.4,11.8,14,14.2,14.1,14.4,13.8,10.4,7,6.7
Балашов,Саратовская область,6.5,7,7.1,10.5,12.4,11.8,11.8,12.2,11,8.2,5.5,5.7
Саратов,Саратовская область,6.3,6.8,6.9,9.8,11.4,11.3,11.3,11.4,10.4,7.7,5.3,5.6
Алдан,Республика Саха (Якутия),8,9.4,11.1,10.4,10.1,12.5,11.6,10.8,8.9,7.8,8.1,7.7
Аллах-Юнь,Республика Саха (Якутия),7.9,13.3,19.1,17.2,13.4,16.3,15.7,15.4,12.1,10.6,9.3,6.9
Амга,Республика Саха (Якутия),7.7,11.4,18.8,16.6,13.8,15.6,15.2,14.7,12.5,10.2,9.5,7.8
Батамай,Республика Саха (Якутия),7.6,10.5,15.1,14.6,11.2,12.3,12.9,12.5,10.5,8,8.4,7.2
Бердигестях,Республика Саха (Якутия),9.8,15.3,20.3,16.7,13.1,15.9,15.7,15.6,13,10.6,11.2,9.3
Буяга,Республика Саха (Якутия),11.1,17.3,23.5,19.3,15.2,16.9,16.2,15.6,13.1,11.6,12,10.1
Верхоянск,Республика Саха (Якутия),5.9,9,17.7,19.2,12.8,13.3,13.8,13.9,11.1,10,6.8,6
Вилюйск,Республика Саха (Якутия),6.6,9,14.1,13.1,11.4,12.4,12.4,11.9,9.7,7.5,7.4,6.5
Витим,Республика Саха (Якутия),10.2,13.2,17.3,14.3,13.6,14.7,13.6,12.4,10.5,8.1,9.8,9.6
Воронцово,Республика Саха (Якутия),8,8.3,12.8,14.7,10.2,10.2,10.1,9,6.4,7.2,7.9,8.1
Джалинда,Республика Саха (Якутия),8.8,9.3,14.2,14.7,10.1,9.7,11.3,10.8,7.9,8.1,8.7,9
Джарджан,Республика Саха (Якутия),6.4,7.2,10.5,12.1,9.4,10.1,10.3,9.7,7.4,6.3,6.9,6.6
Джикимда,Республика Саха (Якутия),10.6,15.6,21.7,17.6,15.8,17.9,17,15.7,13.4,11.2,11.1,9.8
Жиганск,Республика Саха (Якутия),6.3,7.3,10.4,11.6,9.2,10.3,10.7,10.1,8.1,6.4,6.9,6.6
Зырянка,Республика Саха (Якутия),6.7,8.7,13.3,13.7,10.8,11.1,10.6,9.9,8.2,6.6,6.5,6.4
Исить,Республика Саха (Якутия),7.1,9.5,14.6,14.4,12.2,13.4,13,12.3,10,7.6,7.6,7.2
Иэма,Республика Саха (Якутия),8.1,9.9,15.4,17.8,12.3,13.6,13.6,12.8,9.3,9.3,8.7,7.9
Крест-Хальджай,Республика Саха (Якутия),6.8,11.9,17.7,15.1,12.4,13.4,12.9,12.4,10.4,7.9,8.2,6.2
Кюсюр,Республика Саха (Якутия),7.6,7.6,9.8,11.1,8.2,8.9,9.7,8.6,6.7,6.6,7.8,7.8
Ленск,Республика Саха (Якутия),8.5,11.2,15.2,13.6,12.9,14.4,13.8,12.7,10.3,7.9,8.7,8.3
Мирный,Республика Саха (Якутия),7,8.5,11,10.8,10.3,12,11.7,11,8.8,7.1,7.2,7.1
Нагорный,Республика Саха (Якутия),9.2,10.9,13.2,12.9,12.8,15.1,13.8,13.3,11.8,11.6,10.6,9
Нера,Республика Саха (Якутия),5.8,9,16.2,14.9,11.9,14,14.1,13.7,10.8,8.5,6.8,5.3
Нюрба,Республика Саха (Якутия),8.7,11.5,16.3,14.2,12,13.9,13.9,13.2,11,8.3,9.2,8.6
Нюя,Республика Саха (Якутия),8.8,11.4,15.6,13.1,12.7,14.3,13.6,12.6,10.3,7.3,8.5,8.4
Оймякон,Республика Саха (Якутия),7.5,11.7,19.3,20.3,13.9,15.8,16.3,16.2,13.3,11.6,8.8,6.7
Олекминск,Республика Саха (Якутия),7.6,10.2,14.6,12.9,12.4,13.7,13,12.3,10.5,8.1,8.1,7.3
Оленек,Республика Саха (Якутия),7.9,8.4,12.3,12.8,9.4,10.4,11.4,10.6,8.1,7.3,8,8.4
Охотский Перевоз,Республика Саха (Якутия),7.3,12.1,19.5,17,13.5,14.4,14.2,13.8,11.4,8.7,8.8,6.9
Сангары,Республика Саха (Якутия),5.7,7.2,10.5,11.2,9.8,10.6,10.4,9.7,8,5.8,6.3,5.6
Саскылах,Республика Саха (Якутия),7.6,7.8,9.3,10.8,7.8,7.9,10.2,8.8,6.1,7,7.6,7.9
Среднеколымск,Республика Саха (Якутия),6.7,7.8,12.9,14.5,10.8,10.9,10.3,10,7.7,6.6,6.6,6.6
Сунтар,Республика Саха (Якутия),9.6,13.2,17.7,14.8,12.7,14.2,14,13.5,11.3,8.6,10,9.3
Сухана,Республика Саха (Якутия),8.7,10.3,15.8,16,10.8,11.2,12.7,12.4,8.9,8.2,9,9.2
Токо,Республика Саха (Якутия),14.4,19.5,21.7,18.1,14.4,17.8,16.9,16.4,13.9,14.4,15.7,12.8
Томмот,Республика Саха (Якутия),10.2,15.7,21.5,16.9,14.7,17.1,15.9,14.9,12.5,11.3,11.6,9.6
Томпо,Республика Саха (Якутия),6.6,10.8,17.2,16.6,13.5,15.6,15.5,14.4,10.7,9.1,7.6,6.3
Туой-Хая,Республика Саха (Якутия),8.7,11.3,15.2,13.9,11.7,13.8,12.8,11.6,9.4,6.8,8.8,8.6
Тяня,Республика Саха (Якутия),11.6,17.1,22.5,18.3,16.3,18.2,17.4,16.5,14.4,12.8,12.7,10.7
Усть-Мая,Республика Саха (Якутия),7.4,12.4,17.6,14.6,12.6,14,13.5,13.1,11.2,8.4,8.7,6.9
Усть-Миль,Республика Саха (Якутия),8.9,14.6,20.5,16.7,15,17.3,15.9,15.2,13,10.7,10.6,8.4
Усть-Мома,Республика Саха (Якутия),7.7,11.4,18,17.9,13,14,14,13.9,11.7,11,8.9,7.4
Чульман,Республика Саха (Якутия),8.2,11.2,13.5,11.9,11.4,13.6,12.8,12.2,10.4,9.6,9.1,7.7
Чурапча,Республика Саха (Якутия),7.8,13.2,19.6,16.1,13,14.3,14,13.8,11.7,9.8,9.7,7.5
Шелагонцы,Республика Саха (Якутия),9.9,13.5,20.3,19.2,12.9,14.6,16.1,15,11.3,10.5,10.9,10.6
Эйк,Республика Саха (Якутия),7.7,9.2,13.3,14,10.1,11.1,11.4,10.7,8.1,7.5,7.9,7.9
Якутск,Республика Саха (Якутия),6.6,9.9,15.4,13.9,12.4,13.5,13.3,12.8,11.2,8.8,8.3,6.5
Александровск-Сахалинский,Сахалинская область,8.7,9.6,9.4,7.8,8.6,8.8,8,7.8,8.2,7.4,6.7,7.6
Долинск,Сахалинская область,11.2,12.3,10.5,8.6,10.5,10.2,9.3,9.1,10.2,10.3,8.8,10
Корсаков,Сахалинская область,8.1,8.9,7.9,7,7.9,7.4,6.5,6.6,7.5,8.1,7.2,7.3
Курильск,Сахалинская область,5.5,6.4,6.5,6.8,8.3,8,7.6,6.9,7.2,7.4,6.2,5.4
Макаров,Сахалинская область,8.9,9.7,8.4,7,7.8,7.4,6.3,6.7,8.1,8.4,7.9,8.4
Невельск,Сахалинская область,4.9,5.4,5.5,5.6,6.4,6,5.5,5.5,6.1,6.4,5.7,4.9
Ноглики,Сахалинская область,9.5,10.8,11,8.5,8.6,10.6,9.6,9.1,9.2,8.5,8.4,9
Оха,Сахалинская область,7.4,8.7,10.1,7.9,7.6,10.3,9.4,8.5,8,6.9,6.8,7.1
Погиби,Сахалинская область,8.1,9.7,10.8,7.6,5.6,6.4,5.6,5.7,6.3,5.7,6.1,7.3
Поронайск,Сахалинская область,9.8,11.2,10.2,7.2,7.3,6.7,6,6.8,8.5,9.1,8.9,9.4
Южно-Курильск,Сахалинская область,5,5.7,5.4,5.6,6.1,5,4.5,4.5,4.7,5.6,5.7,5
Южно-Сахалинск,Сахалинская область,10.7,12.1,11.1,9.1,11,10.4,9.1,8.9,10.6,10.6,9.1,10
Верхотурье,Свердловская область,9.2,11.2,11.7,11.2,13.2,13.1,12.1,11.3,9.6,7.1,7.3,8.3
Екатеринбург,Свердловская область,6.9,8.5,9.2,10.1,11.6,11.3,10.4,9.8,8.7,6.2,5.8,6.2
Каменск-Уральский,Свердловская область,8.6,10,10.3,10.9,13.1,12.5,11.4,11.1,10.3,7.7,7,7.8
Туринск,Свердловская область,8.2,9.5,10.4,10.5,12.5,12.3,11.3,10.8,9.6,7.3,6.9,7.7
Шамары,Свердловская область,8.3,10.1,10.9,11.2,13.2,12.9,12.1,11.3,9.4,6,6.1,7.3
Владикавказ,Республика Северная Осетия,8.9,9.2,9.5,10.3,10.2,10.2,9.8,10.1,9.9,10,8.8,8.8
Вязьма,Смоленская область,6.1,7.2,7.8,9.3,11.2,10.8,10.6,10.5,9.3,6.7,4.7,5.4
Смоленск,Смоленская область,5.8,6.4,7.1,8.9,10.7,10.3,10.2,10.2,9.1,6.8,4.6,4.9
Арзгир,Ставропольский край,6,6.7,8.5,12.2,13.4,13.7,13.9,14,12.8,10.3,6.9,5.6
Кисловодск,Ставропольский край,9.6,10,10.4,10.7,10.6,10.7,10.7,11.1,11.1,11.1,10.2,9.6
Минеральные Воды,Ставропольский край,7.3,7.9,9.2,12.4,12.8,13.1,13.5,13.6,12.6,10.6,8,7.1
Невинномысск,Ставропольский край,7.9,8.5,9.6,11.9,12.4,12.6,13.3,13.4,12.6,11.2,8.8,7.6
Ставрополь,Ставропольский край,6.5,7.1,8.2,10.3,10.5,10.4,11,11.5,10.6,8.9,7.1,6.3
Тамбов,Тамбовская область,6.6,7.3,7.4,9.9,12.1,11.8,11.6,11.8,10.6,7.6,5.3,5.7
Бугульма,Республика Татарстан (Татарстан),6.8,7.3,7.5,8.7,11.9,11.5,11.1,10.9,9.5,6.7,5.5,6.3
Елабуга,Республика Татарстан (Татарстан),7.2,7.9,8.2,9.9,12.1,11.4,11.1,10.8,9.3,6.3,5.1,6.3
Казань,Республика Татарстан (Татарстан),6.7,7.2,7.6,8.4,10.9,11,10.7,10.4,8.7,6.1,4.9,6.1
Бежецк,Тверская область,7,7.8,8.5,8.7,10.8,10.8,10.6,10.4,8.9,6.2,4.8,5.7
Старица,Тверская область,6.4,7.9,8.2,9.5,11.2,10.8,10.6,10.3,8.9,6.4,4.7,5.4
Тверь,Тверская область,6.5,7.6,8.3,9.4,11.4,11.2,11.1,10.6,9.1,6.3,4.7,5.3
Александровское,Томская область,8.8,9.7,11.3,10.6,10.8,10.7,10.4,9.8,8.7,6.4,7.7,8.7
Колпашево,Томская область,8.7,9.9,11.5,10.8,11.3,11.5,11.4,10.4,9.4,6.8,7.5,8.5
Средний Васюган,Томская область,8.5,10.2,11.7,11.2,11.5,11.4,11.5,10.5,9.3,6.6,7.3,8.3
Томск,Томская область,8.4,9.9,10.9,10.4,12.1,12,11.3,10.6,9.9,7.4,7.3,8.3
Усть-Озерное,Томская область,9,10.8,12.4,11.3,11.4,11.8,12.2,11,9.5,6.6,7.9,8.4
Тула,Тульская область,6.3,7.2,7.4,9.1,11.6,11.4,11,11.2,9.8,7.1,4.9,5.4
Кызыл,Республика Тыва,9.7,12.9,14.1,13.9,15.7,14.9,13.6,13.7,14,12.8,9.7,8.8
Демьянское,Тюменская область,8.3,9.7,10.7,9.9,11,10.9,10.2,9.5,8.3,6.3,7.1,8.1
Тобольск,Тюменская область,8.4,9.7,10.7,10.1,11.3,10.9,10.1,9.8,9.1,7,7.1,8.2
Тюмень,Тюменская область,8.6,10.1,10.5,10.4,12.5,12.1,10.9,10.5,9.8,7.5,7.1,8
Глазов,Удмуртская Республика,7.9,8.9,9.7,9.7,12.2,12.2,11.9,11.4,9,5.8,5.4,6.9
Ижевск,Удмуртская Республика,7.1,7.9,8.3,9.3,12.1,11.6,11.3,10.7,8.9,6.1,5.2,6.3
Сарапул,Удмуртская Республика,7,7.7,8.1,9.1,11.7,11.4,10.9,10.5,8.9,6.1,5.3,6.5
Сурское,Ульяновская область,8.4,9.6,9.4,11.3,13.9,13.1,12.8,12.7,11.2,7.8,5.8,6.9
Ульяновск,Ульяновская область,7.3,8.3,8.5,10.4,12.9,12.4,11.9,11.9,10.6,7.6,5.6,6.4
Аян,Хабаровский край,6.9,7.8,8.9,7.2,6,6.5,5.8,6.5,7.4,7.3,6.8,6.5
Байдуков,Хабаровский край,7.1,8.5,10.2,8,5.1,6.7,6.3,5.9,5.6,5.2,5.3,6.4
Бикин,Хабаровский край,12.8,14.8,13.2,12,13,11.9,10.7,10.4,12,12.1,10.8,11.5
Вяземская,Хабаровский край,10.6,11.8,11.6,11.3,13.2,12.4,11,10.3,11.6,11.2,9.9,10
Гвасюги,Хабаровский край,16.4,19.2,17.7,14.5,16.3,15,12.7,11.3,12.4,13.1,13.2,14.5
Джаоре,Хабаровский край,8.1,8.9,9.8,8.1,6.7,7.3,6.5,6.9,7.7,7.4,7.4,7.9
Им. Полины Осипенко,Хабаровский край,13.6,15.6,15.1,11.9,13.6,14.4,12.7,11.6,11.5,10.6,11.4,12
Комсомольск-на-Амуре,Хабаровский край,10.1,12.1,11.6,10,11.8,11.3,10,9.1,9.3,8.8,8.6,9.1
Нижнетамбовское,Хабаровский край,13.4,16.1,15.7,12,13.1,13,11.3,10.3,10.4,9.7,9.9,11.4
Николаевск-на-Амуре,Хабаровский край,8.1,9.9,11.6,9.5,9.4,10.7,9.4,9.6,9.7,8.4,8,7.6
Охотск,Хабаровский край,6,8.1,11.3,9,6.1,5.5,5.3,6.5,7.8,7.3,5.8,5.4
Советская Гавань,Хабаровский край,10.7,11.8,11.1,9.1,10.1,10.6,9.7,9,9.8,9.9,9.2,9.5
Софийский прииск,Хабаровский край,14.9,18,17.9,13.9,13.5,15.3,13.8,13.1,12.5,11.9,13.8,13.4
Троицкое,Хабаровский край,8.3,9.6,10.3,9.9,11,10.6,9.3,8.6,9.2,8.7,7.4,7.3
Хабаровск,Хабаровский край,7.6,8.9,9.4,10,11.3,10.6,9.5,8.8,9.5,9,7.5,7.1
Чумикан,Хабаровский край,5.2,8.1,11,9.3,8,9.4,8.3,8.3,8.2,7.4,5.8,4.7
Абакан,Республика Хакасия,11,12.8,12.7,14.3,15.2,14,13,13.2,13,10.9,9.7,10.1
Шира,Республика Хакасия,10.2,11.5,12.1,12.7,13.8,13.5,12.4,12.3,12,10.5,9.6,9.8
Березово (ХМАО),Ханты-Мансийский автономный округ - Югра,8.8,9.4,11,10.1,9.5,9.6,9.3,8.8,7.6,6.1,7.6,8.5
Кондинское,Ханты-Мансийский автономный округ - Югра,8.7,9.4,10.3,9.6,10.7,10.4,9.9,8.9,7.9,6.3,7.2,8.4
Леуши,Ханты-Мансийский автономный округ - Югра,7.7,8.8,9.7,9.6,10.7,10.6,9.8,9.2,8.1,6.3,6.6,7.5
Октябрьское,Ханты-Мансийский автономный округ - Югра,8.1,8.5,9.7,9.6,10.4,11,10.3,9.2,7.7,5.9,7.1,8
Сургут,Ханты-Мансийский автономный округ - Югра,7.6,8.3,9.6,9,9.2,9.1,8.8,7.7,6.8,5.4,6.7,7.6
Угут,Ханты-Мансийский автономный округ - Югра,8.8,10.3,11.8,11,11.2,11.3,11.1,9.8,8.4,6.2,7.8,8.6
Ханты-Мансийск,Ханты-Мансийский автономный округ - Югра,8,8.2,9.5,9.1,10,9.3,8.8,8.4,7.5,5.8,6.7,8.2
Верхнеуральск,Челябинская область,10.6,12.3,12.1,12.3,15.3,14.7,13.5,13.9,13.3,10,9.2,10.1
Нязепетровск,Челябинская область,8.9,11.2,11.5,11.8,13.8,13.4,12.3,11.8,10.4,7,7,7.9
Челябинск,Челябинская область,9.1,10.7,10.6,10.6,12.3,11.7,10.7,10.5,10,7.7,7.2,8.4
Грозный,Чеченская Республика,6.9,7.5,9.5,12.7,12.8,12.7,12.6,12.9,12,10.4,7.6,6.4
Порецкое,Чувашская Республика - Чувашия,7,7.7,8,9.3,12.2,11.8,11.5,11.4,9.7,6.9,5.3,6.3
Чебоксары,Чувашская Республика - Чувашия,6.5,6.6,6.8,8.4,10.8,10.3,10,9.7,8.2,5.9,4.6,5.7
Анадырь,Чукотский автономный округ,7.7,7.5,7.5,7.5,6.1,7.4,6.9,6.3,5.5,5.2,6.7,7.3
Березово (Чукотский АО),Чукотский автономный округ,10.5,10.9,12.4,12.4,9.1,13,12.9,11.9,10.3,9,10.1,10.2
Марково,Чукотский автономный округ,9.5,10.2,11.8,11.7,8.6,11.4,11.3,10.6,9.5,8.2,8.8,9.1
Омолон,Чукотский автономный округ,8.8,10.5,15.4,15.7,10.9,12.9,12.8,12.4,10.1,8.6,8.6,8.4
Островное,Чукотский автономный округ,8.5,9.1,12.9,14.4,11.1,12.4,12.6,11.9,9,7.8,8.2,8.1
Усть-Олой,Чукотский автономный округ,7.7,9.6,14.8,16,11.9,13.3,13.4,12.7,9.6,8.5,8,7.8
Эньмувеем,Чукотский автономный округ,10.2,10.3,11.9,12.4,9.7,12.5,12.2,11.6,9.6,8,9.1,9.7
Марресаля,Ямало-Ненецкий автономный округ,8.4,8,8.4,8.2,5.7,5.6,7.8,5.8,4,4.9,7.4,8
Надым,Ямало-Ненецкий автономный округ,8.9,9.3,11,10.7,8.7,9.8,10.2,8.6,6.6,5.9,8.1,8.9
Салехард,Ямало-Ненецкий автономный округ,9,8.9,9.9,9.8,7.7,8.6,9.5,8.3,6.4,5.7,8.1,8.8
Тарко-Сале,Ямало-Ненецкий автономный округ,9.1,9.5,11.4,10.7,8.5,9.6,10.1,8.9,6.8,5.9,8.3,9.1
Уренгой,Ямало-Ненецкий автономный округ,9.6,9.9,11.6,11.4,8.2,9.4,10.2,8.9,6.7,6.2,8.8,9.6
Ярославль,Ярославская область,6.7,7.7,8.3,9.6,11.8,11.3,11.1,10.8,8.9,6.1,4.7,5.7
